RespondentID,SubmissionTime,Department,Location,Tenure,Manager,eNPS_0_10,Q01_Strategy,Q02_Leadership_Comms,Q03_Manager_Support,Q04_Feedback,Q05_Workload,Q06_Tools,Q07_Recognition,Q08_Collaboration,Q09_PsychSafety,Q10_CareerPath,Q11_Stay12Months,Q12_OverallEngagement,Open_WhatsWorking,Open_ImproveFirst
R0036,2025-11-03 09:13,Operations,Paris,1-3y,No,10,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Manager is approachable and supportive.,More clarity on priorities and decisions from leadership.
R0037,2025-11-03 09:04,Engineering,Paris,1-3y,No,10,Neutral,Disagree,Strongly agree,Agree,Disagree,Agree,Disagree,Neutral,Agree,Agree,Disagree,Agree,,
R0038,2025-11-03 09:17,Sales,Paris,5y+,No,10,Neutral,Disagree,Neutral,Strongly disagree,Neutral,Agree,Neutral,Agree,Agree,Disagree,Neutral,Agree,Cross-team collaboration has improved recently.,Faster decisions and less last-minute changes.
R0039,2025-11-03 09:16,Finance,Paris,3-5y,No,6,Disagree,Agree,Neutral,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Team collaboration is strong and people are helpful.,
R0040,2025-11-03 09:04,Operations,Paris,1-3y,No,9,Disagree,Neutral,Neutral,Neutral,Neutral,Strongly agree,Agree,Neutral,Strongly agree,Strongly disagree,Neutral,Neutral,Cross-team collaboration has improved recently.,Reduce workload and improve staffing/planning.
R0041,2025-11-03 09:11,Customer Support,Remote,5y+,Yes,10,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Disagree,Neutral,Agree,Disagree,Agree,Strongly agree,Tools and systems mostly work well for my role.,Reduce workload and improve staffing/planning.
R0042,2025-11-03 09:23,Engineering,Remote,0-1y,No,10,Neutral,Neutral,Strongly agree,Neutral,Strongly disagree,Strongly agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Autonomy and trust make it easier to get work done.,More clarity on priorities and decisions from leadership.
R0043,2025-11-03 09:34,HR / People,Lyon,0-1y,Yes,9,Disagree,Agree,Agree,Neutral,Neutral,Strongly agree,Neutral,Agree,Neutral,Disagree,Agree,Neutral,Autonomy and trust make it easier to get work done.,Reduce workload and improve staffing/planning.
R0044,2025-11-03 09:10,Engineering,Paris,5y+,No,7,Neutral,Neutral,Agree,Agree,Neutral,Agree,Neutral,Strongly agree,Agree,Agree,Agree,Disagree,Tools and systems mostly work well for my role.,Reduce workload and improve staffing/planning.
R0045,2025-11-03 09:21,Operations,Paris,1-3y,No,7,Disagree,Agree,Agree,Neutral,Neutral,Neutral,Strongly agree,Agree,Agree,Neutral,Agree,Neutral,,
R0046,2025-11-03 09:00,HR / People,Paris,0-1y,No,10,Agree,Disagree,Strongly agree,Neutral,Neutral,Agree,Agree,Strongly agree,Agree,Disagree,Neutral,Agree,Manager is approachable and supportive.,Faster decisions and less last-minute changes.
R0047,2025-11-03 10:05,HR / People,Remote,1-3y,No,4,Neutral,Disagree,Agree,Neutral,Disagree,Neutral,Neutral,Strongly agree,Agree,Disagree,Neutral,Neutral,Good culture and supportive colleagues.,Faster decisions and less last-minute changes.
R0048,2025-11-03 10:01,Engineering,Remote,5y+,No,10,Neutral,Agree,Disagree,Disagree,Neutral,Neutral,Neutral,Agree,Agree,Disagree,Agree,Neutral,,Clearer career paths and development opportunities.
R0049,2025-11-03 09:54,Finance,Remote,1-3y,No,6,Neutral,Neutral,Neutral,Neutral,Disagree,Agree,Neutral,Strongly agree,Strongly disagree,Agree,Agree,Disagree,Tools and systems mostly work well for my role.,
R0050,2025-11-03 09:31,HR / People,Paris,3-5y,No,8,Neutral,Neutral,Agree,Agree,Disagree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,,More clarity on priorities and decisions from leadership.
R0051,2025-11-03 09:00,Engineering,Remote,0-1y,No,10,Neutral,Neutral,Disagree,Agree,Neutral,Agree,Agree,Agree,Neutral,Neutral,Disagree,Agree,Team collaboration is strong and people are helpful.,Clearer career paths and development opportunities.
R0052,2025-11-03 10:26,Operations,Paris,3-5y,No,5,Neutral,Disagree,Strongly agree,Disagree,Disagree,Strongly agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Autonomy and trust make it easier to get work done.,Reduce workload and improve staffing/planning.
R0053,2025-11-03 11:04,Sales,Paris,3-5y,No,10,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Agree,Agree,Strongly disagree,Disagree,Agree,,
R0054,2025-11-03 10:14,Engineering,Paris,5y+,No,8,Neutral,Disagree,Agree,Disagree,Neutral,Strongly agree,Agree,Neutral,Agree,Agree,Strongly agree,Disagree,Cross-team collaboration has improved recently.,
R0055,2025-11-03 09:25,Operations,Paris,1-3y,No,4,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Disagree,Tools and systems mostly work well for my role.,Reduce workload and improve staffing/planning.
R0056,2025-11-03 09:02,Operations,Paris,3-5y,No,9,Agree,Strongly agree,Neutral,Neutral,Neutral,Agree,Disagree,Agree,Neutral,Strongly disagree,Agree,Neutral,Manager is approachable and supportive.,Reduce workload and improve staffing/planning.
R0057,2025-11-03 09:06,Sales,Paris,1-3y,No,9,Neutral,Strongly agree,Neutral,Strongly agree,Neutral,Neutral,Agree,Strongly agree,Agree,Strongly disagree,Neutral,Neutral,Manager is approachable and supportive.,Improve communication between teams.
R0058,2025-11-03 09:01,Customer Support,Remote,3-5y,No,10,Agree,Agree,Agree,Agree,Neutral,Strongly agree,Agree,Neutral,Agree,Disagree,Neutral,Agree,Autonomy and trust make it easier to get work done.,More clarity on priorities and decisions from leadership.
R0059,2025-11-03 09:13,Finance,Remote,3-5y,No,9,Neutral,Agree,Neutral,Agree,Neutral,Agree,Agree,Neutral,Agree,Disagree,Neutral,Neutral,Team collaboration is strong and people are helpful.,More recognition for strong performance.
R0060,2025-11-03 09:54,Customer Support,Remote,1-3y,No,10,Neutral,Neutral,Agree,Agree,Strongly disagree,Neutral,Agree,Agree,Agree,Disagree,Agree,Agree,Cross-team collaboration has improved recently.,Reduce workload and improve staffing/planning.
R0061,2025-11-03 09:01,Engineering,Lyon,0-1y,No,7,Neutral,Agree,Strongly agree,Neutral,Neutral,Strongly agree,Agree,Neutral,Neutral,Disagree,Disagree,Neutral,Team collaboration is strong and people are helpful.,
R0062,2025-11-03 09:06,Engineering,Remote,3-5y,No,7,Neutral,Strongly disagree,Disagree,Disagree,Neutral,Agree,Disagree,Strongly agree,Neutral,Agree,Strongly agree,Disagree,Team collaboration is strong and people are helpful.,More recognition for strong performance.
R0063,2025-11-03 09:03,Operations,Remote,3-5y,No,9,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Disagree,Agree,Neutral,Neutral,Agree,Disagree,,Improve communication between teams.
R0064,2025-11-03 09:08,Sales,Remote,1-3y,No,9,Strongly agree,Neutral,Agree,Agree,Agree,Neutral,Neutral,Disagree,Neutral,Agree,Neutral,Neutral,,Reduce workload and improve staffing/planning.
R0065,2025-11-03 10:09,Finance,Paris,3-5y,No,10,Neutral,Neutral,Neutral,Agree,Strongly agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Neutral,Manager is approachable and supportive.,Clearer career paths and development opportunities.
R0066,2025-11-03 10:03,Engineering,Paris,5y+,Yes,10,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Neutral,Agree,Disagree,Neutral,Neutral,Manager is approachable and supportive.,Faster decisions and less last-minute changes.
R0067,2025-11-03 09:37,Engineering,Paris,1-3y,No,10,Neutral,Agree,Agree,Neutral,Disagree,Strongly agree,Agree,Strongly agree,Neutral,Neutral,Agree,Strongly agree,Manager is approachable and supportive.,Improve communication between teams.
R0068,2025-11-03 09:00,HR / People,Paris,5y+,No,10,Agree,Neutral,Agree,Neutral,Disagree,Neutral,Neutral,Disagree,Strongly agree,Disagree,Agree,Agree,Tools and systems mostly work well for my role.,More recognition for strong performance.
R0069,2025-11-03 10:56,Finance,Remote,1-3y,No,7,Strongly agree,Neutral,Neutral,Strongly agree,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Autonomy and trust make it easier to get work done.,
R0070,2025-11-03 09:18,Customer Support,Paris,1-3y,No,8,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Disagree,Neutral,Neutral,Manager is approachable and supportive.,
R0071,2025-11-03 09:08,Finance,Remote,5y+,No,10,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Strongly agree,Agree,Neutral,Neutral,Strongly agree,,Faster decisions and less last-minute changes.
R0072,2025-11-03 09:13,Engineering,Lyon,0-1y,No,10,Strongly agree,Disagree,Neutral,Disagree,Neutral,Agree,Agree,Neutral,Agree,Disagree,Neutral,Strongly agree,Manager is approachable and supportive.,More recognition for strong performance.
R0073,2025-11-03 09:01,Sales,Remote,1-3y,No,6,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Agree,Disagree,,More clarity on priorities and decisions from leadership.
R0074,2025-11-03 10:25,Customer Support,Lyon,0-1y,No,10,Neutral,Neutral,Neutral,Neutral,Disagree,Strongly agree,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly agree,Team collaboration is strong and people are helpful.,
R0075,2025-11-03 11:37,Operations,Remote,5y+,No,8,Agree,Agree,Agree,Neutral,Agree,Agree,Strongly agree,Neutral,Strongly agree,Neutral,Neutral,Neutral,Good culture and supportive colleagues.,Reduce workload and improve staffing/planning.
R0076,2025-11-03 09:01,Engineering,Remote,1-3y,No,10,Agree,Disagree,Neutral,Agree,Agree,Strongly agree,Neutral,Neutral,Agree,Disagree,Agree,Neutral,Autonomy and trust make it easier to get work done.,Faster decisions and less last-minute changes.
R0077,2025-11-03 10:40,Operations,Remote,0-1y,No,10,Neutral,Disagree,Agree,Agree,Disagree,Strongly agree,Disagree,Disagree,Agree,Neutral,Strongly agree,Neutral,Tools and systems mostly work well for my role.,More recognition for strong performance.
R0078,2025-11-03 09:29,Sales,Lyon,0-1y,No,10,Neutral,Disagree,Neutral,Agree,Neutral,Agree,Disagree,Strongly agree,Agree,Neutral,Neutral,Agree,Team collaboration is strong and people are helpful.,Clearer career paths and development opportunities.
R0079,2025-11-03 09:11,Finance,Lyon,0-1y,No,10,Agree,Neutral,Agree,Strongly disagree,Agree,Disagree,Neutral,Neutral,Disagree,Agree,Neutral,Agree,,More recognition for strong performance.
R0080,2025-11-03 10:13,Operations,Paris,3-5y,Yes,10,Agree,Strongly disagree,Agree,Neutral,Agree,Agree,Disagree,Neutral,Agree,Agree,Agree,Agree,Manager is approachable and supportive.,Faster decisions and less last-minute changes.
R0081,2025-11-03 09:27,Finance,Paris,0-1y,No,8,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Neutral,Neutral,Disagree,Cross-team collaboration has improved recently.,Improve communication between teams.
R0082,2025-11-03 10:23,Operations,Paris,5y+,No,9,Agree,Strongly disagree,Strongly agree,Disagree,Neutral,Neutral,Agree,Agree,Neutral,Agree,Neutral,Agree,Good culture and supportive colleagues.,
R0083,2025-11-03 14:47,Engineering,Remote,1-3y,No,7,Agree,Neutral,Strongly agree,Neutral,Neutral,Strongly agree,Agree,Strongly agree,Agree,Disagree,Strongly agree,Disagree,Manager is approachable and supportive.,More recognition for strong performance.
R0084,2025-11-03 09:27,Finance,Paris,0-1y,No,10,Neutral,Agree,Neutral,Neutral,Agree,Agree,Neutral,Disagree,Neutral,Neutral,Agree,Agree,Autonomy and trust make it easier to get work done.,
R0085,2025-11-03 09:46,Sales,Paris,5y+,Yes,10,Agree,Neutral,Neutral,Neutral,Disagree,Neutral,Strongly agree,Neutral,Neutral,Strongly disagree,Neutral,Disagree,Manager is approachable and supportive.,Reduce workload and improve staffing/planning.
R0086,2025-11-03 10:10,Operations,Lyon,1-3y,No,10,Agree,Strongly disagree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Disagree,Agree,Disagree,Strongly agree,Good culture and supportive colleagues.,Reduce workload and improve staffing/planning.
R0087,2025-11-03 09:18,Operations,Paris,1-3y,No,7,Agree,Agree,Agree,Neutral,Neutral,Agree,Disagree,Neutral,Disagree,Neutral,Neutral,Disagree,,Reduce workload and improve staffing/planning.
R0088,2025-11-03 09:14,Customer Support,Paris,1-3y,No,7,Strongly agree,Agree,Agree,Neutral,Strongly disagree,Agree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Cross-team collaboration has improved recently.,Reduce workload and improve staffing/planning.
R0089,2025-11-03 10:31,Engineering,Lyon,1-3y,No,7,Neutral,Neutral,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Autonomy and trust make it easier to get work done.,More clarity on priorities and decisions from leadership.
R0090,2025-11-03 09:09,Finance,Paris,1-3y,No,10,Strongly agree,Neutral,Agree,Agree,Disagree,Agree,Neutral,Strongly agree,Neutral,Neutral,Neutral,Strongly agree,Good culture and supportive colleagues.,More clarity on priorities and decisions from leadership.
R0091,2025-11-03 09:28,Customer Support,Lyon,0-1y,No,10,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Strongly agree,Neutral,Strongly disagree,Neutral,Strongly agree,Team collaboration is strong and people are helpful.,Reduce workload and improve staffing/planning.
R0092,2025-11-03 10:23,Customer Support,Paris,0-1y,No,8,Strongly agree,Agree,Agree,Neutral,Disagree,Disagree,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Team collaboration is strong and people are helpful.,Reduce workload and improve staffing/planning.
R0093,2025-11-03 09:10,Customer Support,Paris,0-1y,No,9,Neutral,Disagree,Agree,Agree,Strongly disagree,Agree,Agree,Neutral,Strongly agree,Neutral,Neutral,Neutral,Good culture and supportive colleagues.,Improve communication between teams.
R0094,2025-11-03 10:37,Customer Support,Lyon,3-5y,No,10,Neutral,Disagree,Agree,Disagree,Neutral,Strongly agree,Neutral,Strongly agree,Neutral,Disagree,Disagree,Neutral,,More recognition for strong performance.
R0095,2025-11-03 09:49,Sales,Lyon,3-5y,No,10,Strongly agree,Neutral,Agree,Neutral,Neutral,Agree,Agree,Strongly agree,Neutral,Disagree,Disagree,Agree,,Reduce workload and improve staffing/planning.
R0096,2025-11-03 09:27,Sales,Paris,1-3y,No,9,Disagree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Strongly agree,Neutral,Agree,Neutral,Manager is approachable and supportive.,Improve communication between teams.
R0097,2025-11-03 09:24,Customer Support,Paris,1-3y,No,4,Agree,Disagree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Strongly agree,Neutral,Neutral,Disagree,,Reduce workload and improve staffing/planning.
R0098,2025-11-03 09:03,Sales,Remote,3-5y,No,7,Neutral,Agree,Agree,Disagree,Disagree,Strongly disagree,Neutral,Agree,Neutral,Neutral,Disagree,Disagree,Team collaboration is strong and people are helpful.,Faster decisions and less last-minute changes.
R0099,2025-11-03 09:41,Engineering,Paris,0-1y,Yes,10,Neutral,Agree,Agree,Neutral,Disagree,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,,Improve communication between teams.
R0100,2025-11-03 09:36,HR / People,Paris,1-3y,No,9,Disagree,Disagree,Neutral,Neutral,Agree,Neutral,Disagree,Strongly agree,Agree,Agree,Agree,Neutral,Tools and systems mostly work well for my role.,More recognition for strong performance.
R0101,2025-11-03 10:15,Sales,Lyon,5y+,No,8,Neutral,Neutral,Disagree,Neutral,Neutral,Agree,Neutral,Neutral,Strongly agree,Neutral,Neutral,Neutral,Team collaboration is strong and people are helpful.,Faster decisions and less last-minute changes.
R0102,2025-11-03 09:58,Finance,Lyon,5y+,No,10,Neutral,Strongly disagree,Neutral,Disagree,Strongly disagree,Agree,Neutral,Strongly agree,Neutral,Strongly disagree,Neutral,Neutral,Tools and systems mostly work well for my role.,Reduce workload and improve staffing/planning.
R0103,2025-11-03 09:24,Customer Support,Lyon,5y+,No,6,Agree,Neutral,Strongly agree,Strongly agree,Neutral,Neutral,Neutral,Neutral,Strongly agree,Neutral,Neutral,Neutral,Cross-team collaboration has improved recently.,
R0104,2025-11-03 09:07,HR / People,Paris,1-3y,No,6,Neutral,Agree,Agree,Neutral,Disagree,Agree,Disagree,Neutral,Strongly agree,Neutral,Strongly agree,Disagree,Good culture and supportive colleagues.,Faster decisions and less last-minute changes.
R0105,2025-11-03 11:35,Customer Support,Lyon,1-3y,No,10,Strongly agree,Agree,Agree,Strongly agree,Disagree,Agree,Neutral,Agree,Strongly agree,Neutral,Agree,Agree,Team collaboration is strong and people are helpful.,Reduce workload and improve staffing/planning.
R0106,2025-11-03 10:40,HR / People,Paris,1-3y,No,8,Neutral,Neutral,Disagree,Disagree,Strongly disagree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Disagree,Autonomy and trust make it easier to get work done.,More clarity on priorities and decisions from leadership.
R0107,2025-11-03 09:42,Engineering,Paris,3-5y,No,8,Neutral,Neutral,Neutral,Strongly agree,Neutral,Strongly agree,Agree,Strongly agree,Agree,Disagree,Agree,Neutral,Good culture and supportive colleagues.,Reduce workload and improve staffing/planning.
R0108,2025-11-03 09:37,HR / People,Paris,3-5y,No,10,Agree,Agree,Agree,Strongly agree,Agree,Disagree,Neutral,Strongly agree,Agree,Neutral,Agree,Neutral,,Reduce workload and improve staffing/planning.
R0109,2025-11-03 12:14,Operations,Paris,0-1y,No,7,Neutral,Disagree,Neutral,Agree,Agree,Agree,Disagree,Agree,Strongly agree,Disagree,Neutral,Neutral,Team collaboration is strong and people are helpful.,Reduce workload and improve staffing/planning.
R0110,2025-11-03 09:00,Finance,Paris,3-5y,No,10,Agree,Disagree,Neutral,Neutral,Disagree,Neutral,Strongly disagree,Agree,Agree,Strongly disagree,Strongly agree,Strongly agree,Manager is approachable and supportive.,
R0111,2025-11-03 09:43,Engineering,Lyon,1-3y,No,10,Disagree,Agree,Neutral,Strongly agree,Disagree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Good culture and supportive colleagues.,
R0112,2025-11-03 10:23,Sales,Remote,1-3y,No,9,Neutral,Agree,Neutral,Agree,Neutral,Strongly disagree,Agree,Neutral,Neutral,Disagree,Neutral,Agree,Team collaboration is strong and people are helpful.,Clearer career paths and development opportunities.
R0113,2025-11-03 09:22,Finance,Lyon,3-5y,No,7,Neutral,Strongly agree,Strongly agree,Agree,Neutral,Neutral,Neutral,Strongly agree,Strongly agree,Agree,Neutral,Disagree,Manager is approachable and supportive.,Improve communication between teams.
R0114,2025-11-03 10:23,Operations,Paris,5y+,No,3,Disagree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Strongly disagree,,Reduce workload and improve staffing/planning.
R0115,2025-11-03 09:38,Finance,Paris,1-3y,No,10,Neutral,Neutral,Neutral,Neutral,Agree,Strongly agree,Neutral,Neutral,Neutral,Disagree,Neutral,Agree,,Faster decisions and less last-minute changes.
R0116,2025-11-03 09:19,Operations,Lyon,0-1y,No,8,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Agree,Agree,Neutral,Neutral,Neutral,Autonomy and trust make it easier to get work done.,Reduce workload and improve staffing/planning.
